,Title,Year,RuntimeMin,GenreMain,RatingAvg,Votes,Studio,GrossLifetime,Awards,Nominations
30027,Cyrano de Bergerac,1950,113,Adventure,7.5,3499.0,OrionC,5820020.0,1.0,5.0
30028,Cyrano de Bergerac,1950,113,Adventure,7.5,3499.0,OrionC,5820020.0,1.0,1.0
30262,King Solomon's Mines,1950,103,Action,6.8,5457.0,Can.,15057465.0,2.0,3.0
30266,Kon-Tiki,1950,77,Documentary,8.0,2246.0,Wein.,1517410.0,1.0,1.0
31325,The River,1951,99,Drama,7.5,5330.0,Uni.,11489982.0,1.0,4.0
31376,Boyhood,1951,111,Drama,7.0,65.0,IFC,25352281.0,1.0,6.0
31792,Fargo,1952,69,Action,7.0,139.0,Gram.,24611975.0,2.0,7.0
31801,The Fighter,1952,78,Drama,6.1,99.0,Par.,93617009.0,2.0,7.0
31849,The Greatest Show on Earth,1952,152,Drama,6.6,12297.0,Par.,36000000.0,2.0,5.0
31929,The Jazz Singer,1952,107,Drama,5.7,288.0,Uni.,27118000.0,1.0,1.0
31996,Limelight,1952,137,Drama,8.1,17019.0,Magn.,60335.0,1.0,7.0
33128,The Robe,1953,135,Drama,6.7,8903.0,Fox,36000000.0,2.0,5.0
33290,Titanic,1953,98,Drama,7.0,6082.0,Par.,659363944.0,11.0,14.0
33291,Titanic,1953,98,Drama,7.0,6082.0,Par.,659363944.0,1.0,2.0
34071,Sabrina,1954,113,Comedy,7.7,56275.0,Par.,53672080.0,1.0,6.0
34139,A Star Is Born,1954,154,Drama,7.6,14970.0,WB,4335968.0,1.0,8.0
34140,A Star Is Born,1954,154,Drama,7.6,14970.0,WB,4335968.0,1.0,4.0
34141,A Star Is Born,1954,154,Drama,7.6,14970.0,WB,4335968.0,2.0,7.0
34987,Snow White and the Seven Dwarfs,1955,76,Family,5.1,162.0,Dis.,184925486.0,1.0,1.0
35109,Top Gun,1955,73,Western,6.2,493.0,Par.,179800601.0,1.0,4.0
35230,Anastasia,1956,105,Biography,7.0,7236.0,Fox,58406347.0,1.0,2.0
35241,Around the World in 80 Days,1956,167,Adventure,6.8,23447.0,UA,42000000.0,5.0,8.0
35242,Around the World in 80 Days,1956,167,Adventure,6.8,23447.0,BV,24008137.0,5.0,8.0
35305,The Brave One,1956,100,Drama,6.6,711.0,WB,36793804.0,1.0,3.0
35503,Giant,1956,201,Drama,7.6,32602.0,WB,177909.0,1.0,10.0
35510,Glory,1956,100,Drama,5.7,189.0,TriS,26828365.0,3.0,5.0
35963,Somebody Up There Likes Me,1956,113,Biography,7.5,7042.0,Trib.,89435.0,2.0,3.0
36015,The Ten Commandments,1956,220,Adventure,7.8,61170.0,Par.,65500000.0,1.0,7.0
36271,The Bridge on the River Kwai,1957,161,Adventure,8.1,194845.0,Col.,27200000.0,7.0,8.0
37373,Dunkirk,1958,135,Action,7.0,2555.0,WB,190068280.0,3.0,8.0
37422,The Fly,1958,94,Drama,7.1,19904.0,Fox,40456565.0,1.0,1.0
37985,Tempest,1958,120,Adventure,6.4,188.0,Col.,5005245.0,1.0,1.0
38204,Ben-Hur,1959,212,Adventure,8.1,211066.0,MGM,74000000.0,11.0,12.0
38556,Speed,1959,90,Drama,6.1,360.0,Fox,121248145.0,2.0,3.0
38759,A Midsummer Night's Dream,1959,76,Animation,7.2,316.0,FoxS,16071990.0,2.0,11.0
39625,Spartacus,1960,197,Adventure,7.9,119349.0,Uni.,1830650.0,4.0,6.0
39671,The Time Machine,1960,103,Adventure,7.6,34713.0,DW,56832494.0,1.0,1.0
40668,West Side Story,1961,153,Crime,7.5,92384.0,MGM,44064958.0,10.0,11.0
40763,Beauty and the Beast,1962,77,Family,4.6,227.0,BV,218967620.0,2.0,6.0
41024,How the West Was Won,1962,164,Western,7.1,17756.0,CRC,76729.0,3.0,8.0
41100,Lawrence of Arabia,1962,228,Adventure,8.3,255706.0,Col.,44824144.0,7.0,10.0
41196,No Man's Land,1962,96,Drama,5.6,27.0,MGM,1012153.0,1.0,1.0
42652,Goldfinger,1964,110,Action,7.7,166012.0,UA,51081062.0,1.0,1.0
42801,Mary Poppins,1964,139,Comedy,7.8,151432.0,Dis.,102272727.0,5.0,13.0
42847,My Fair Lady,1964,170,Drama,7.8,83292.0,WB,72000000.0,8.0,12.0
43393,Doctor Zhivago,1965,197,Drama,8.0,67084.0,MGM,111721910.0,5.0,10.0
43883,The Sound of Music,1965,172,Biography,8.0,194932.0,Fox,158671368.0,5.0,10.0
43927,Thunderball,1965,130,Action,7.0,100885.0,UA,63595658.0,1.0,1.0
44143,Batman,1966,105,Adventure,6.5,28702.0,WB,251188924.0,1.0,1.0
44538,A Midsummer Night's Dream,1967,93,Music,7.2,20.0,FoxS,16071990.0,2.0,11.0
